tile,region,sigma,L_theory,mean_exp,diff_mean,var_theory,var_exp,diff_var,count,stddev,min,max
1,background,0,0.000,114.369,114.369,0.000,5080.266,5080.266,218463,71.276,0.000,235.000
1,square,0,127.000,190.380,63.380,0.000,4095.616,4095.616,43681,63.997,127.000,255.000
1,circle,0,255.000,255.000,0.000,0.000,0.000,0.000,21629,0.000,255.000,255.000
1,background,3,0.000,114.496,114.496,9.000,5060.569,5051.569,218463,71.138,0.000,249.000
1,square,3,127.000,189.791,62.791,9.000,4026.057,4017.057,43681,63.451,114.000,255.000
1,circle,3,255.000,253.811,-1.189,9.000,3.113,-5.887,21629,1.764,242.000,255.000
1,background,7,0.000,114.660,114.660,49.000,5062.469,5013.469,218463,71.151,0.000,255.000
1,square,7,127.000,188.987,61.987,49.000,3955.753,3906.753,43681,62.895,98.000,255.000
1,circle,7,255.000,252.232,-2.768,49.000,16.669,-32.331,21629,4.083,229.000,255.000
1,background,15,0.000,114.948,114.948,225.000,5123.463,4898.463,218463,71.578,0.000,255.000
1,square,15,127.000,187.457,60.457,225.000,3869.591,3644.591,43681,62.206,66.000,255.000
1,circle,15,255.000,249.020,-5.980,225.000,77.162,-147.838,21629,8.784,186.000,255.000
2,background,0,20.000,116.349,96.349,0.000,5593.673,5593.673,218463,74.791,0.000,255.000
2,square,0,127.000,180.477,53.477,0.000,2915.727,2915.727,43681,53.997,127.000,235.000
2,circle,0,235.000,235.000,0.000,0.000,0.000,0.000,21629,0.000,235.000,235.000
2,background,3,20.000,116.360,96.360,9.000,5540.836,5531.836,218463,74.437,0.000,255.000
2,square,3,127.000,180.465,53.465,9.000,2924.182,2915.182,43681,54.076,112.000,249.000
2,circle,3,235.000,234.983,-0.017,9.000,8.962,-0.038,21629,2.994,221.000,249.000
2,background,7,20.000,116.351,96.351,49.000,5494.838,5445.838,218463,74.127,0.000,255.000
2,square,7,127.000,180.528,53.528,49.000,2964.929,2915.929,43681,54.451,96.000,255.000
2,circle,7,235.000,235.057,0.057,49.000,48.497,-0.503,21629,6.964,207.000,255.000
2,background,15,20.000,116.381,96.381,225.000,5476.396,5251.396,218463,74.003,0.000,255.000
2,square,15,127.000,180.295,53.295,225.000,3081.578,2856.578,43681,55.512,65.000,255.000
2,circle,15,235.000,234.427,-0.573,225.000,190.855,-34.145,21629,13.815,178.000,255.000
3,background,0,55.000,119.814,64.814,0.000,6282.683,6282.683,218463,79.263,0.000,255.000
3,square,0,127.000,163.147,36.147,0.000,1332.125,1332.125,43681,36.498,127.000,200.000
3,circle,0,200.000,200.000,0.000,0.000,0.000,0.000,21629,0.000,200.000,200.000
3,background,3,55.000,119.820,64.820,9.000,6229.189,6220.189,218463,78.925,0.000,255.000
3,square,3,127.000,163.160,36.160,9.000,1340.827,1331.827,43681,36.617,114.000,212.000
3,circle,3,200.000,200.007,0.007,9.000,9.156,0.156,21629,3.026,189.000,212.000
3,background,7,55.000,119.833,64.833,49.000,6186.477,6137.477,218463,78.654,0.000,255.000
3,square,7,127.000,163.114,36.114,49.000,1377.181,1328.181,43681,37.110,98.000,229.000
3,circle,7,200.000,199.915,-0.085,49.000,49.174,0.174,21629,7.012,166.000,229.000
3,background,15,55.000,119.817,64.817,225.000,6150.595,5925.595,218463,78.426,0.000,255.000
3,square,15,127.000,163.107,36.107,225.000,1552.268,1327.268,43681,39.399,73.000,255.000
3,circle,15,200.000,199.886,-0.114,225.000,226.144,1.144,21629,15.038,140.000,255.000
4,background,0,90.000,123.279,33.279,0.000,6705.114,6705.114,218463,81.885,0.000,255.000
4,square,0,127.000,145.816,18.816,0.000,360.966,360.966,43681,18.999,127.000,165.000
4,circle,0,165.000,165.000,0.000,0.000,0.000,0.000,21629,0.000,165.000,165.000
4,background,3,90.000,123.286,33.286,9.000,6651.436,6642.436,218463,81.556,0.000,255.000
4,square,3,127.000,145.826,18.826,9.000,370.970,361.970,43681,19.261,114.000,178.000
4,circle,3,165.000,165.033,0.033,9.000,8.991,-0.009,21629,2.998,153.000,178.000
4,background,7,90.000,123.288,33.288,49.000,6606.936,6557.936,218463,81.283,0.000,255.000
4,square,7,127.000,145.835,18.835,49.000,411.719,362.719,43681,20.291,99.000,194.000
4,circle,7,165.000,165.077,0.077,49.000,48.651,-0.349,21629,6.975,138.000,194.000
4,background,15,90.000,123.297,33.297,225.000,6572.922,6347.922,218463,81.074,0.000,255.000
4,square,15,127.000,145.705,18.705,225.000,583.357,358.357,43681,24.153,73.000,223.000
4,circle,15,165.000,164.803,-0.197,225.000,226.479,1.479,21629,15.049,102.000,223.000
