x,y,width,height,confidence
183,518,18,18,0.639
202,512,22,17,0.617
226,505,18,17,0.593
305,504,19,19,0.696
282,504,20,19,0.732
259,504,20,19,0.711
177,496,17,18,0.543
198,489,20,19,0.671
221,482,17,18,0.650
260,481,19,20,0.702
305,480,19,20,0.684
282,481,20,19,0.725
171,475,17,17,0.514
193,468,17,17,0.613
214,462,18,17,0.635
304,458,21,20,0.674
283,458,19,20,0.667
260,459,20,19,0.616
71,428,54,50,0.575
181,404,21,20,0.542
158,399,22,20,0.540
23,399,24,20,0.280
136,394,22,20,0.564
456,484,48,45,0.560
550,425,108,107,0.458
186,381,21,20,0.575
142,373,21,20,0.593
192,360,21,20,0.543
21,357,57,53,0.533
170,356,21,20,0.475
148,352,21,19,0.530
54,348,23,19,0.268
260,370,31,32,0.319
304,292,17,24,0.284
321,284,25,27,0.477
220,292,27,28,0.592
211,274,26,26,0.621
440,165,22,22,0.626
287,122,15,20,0.434
262,118,27,25,0.476
242,117,21,24,0.742
302,83,15,25,0.503
285,59,19,22,0.389
264,58,29,35,0.273
243,58,18,18,0.306
582,162,21,26,0.623
565,155,67,40,0.376
563,133,20,26,0.310
459,130,20,13,0.614
588,128,21,27,0.614
376,126,26,22,0.549
571,126,20,27,0.628
597,125,29,24,0.610
383,105,16,26,0.569
494,91,18,13,0.705
386,76,16,26,0.557
394,67,45,75,0.615
348,65,44,60,0.578
382,54,27,26,0.530
252,447,77,82,0.295
67,386,18,21,0.507
16,360,18,18,0.522
283,359,22,22,0.515
295,342,31,28,0.585
354,274,12,27,0.553
565,159,20,36,0.543
231,103,33,40,0.271
223,369,21,26,0.292
370,361,85,79,0.353
96,284,28,27,0.596
495,141,27,18,0.600
614,130,27,38,0.559
563,122,64,38,0.573
218,90,34,42,0.515
512,79,31,66,0.557
73,32,117,116,0.371
110,522,18,22,0.501
546,456,22,18,0.508
162,450,90,96,0.322
493,380,81,86,0.657
182,334,24,21,0.594
264,166,22,28,0.269
153,156,20,24,0.566
345,53,94,97,0.625
216,42,101,101,0.517
21,25,36,25,0.511
78,486,26,18,0.572
614,404,30,38,0.541
80,436,36,34,0.739
32,366,36,36,0.644
152,310,16,22,0.617
52,292,22,22,0.551
582,284,20,20,0.650
424,274,18,22,0.632
594,214,16,24,0.580
608,206,22,24,0.581
250,196,16,30,0.577
628,170,22,20,0.515
562,124,80,70,0.669
552,120,20,22,0.504
440,86,20,22,0.589
454,72,90,88,0.637
500,122,26,24,0.564
608,40,40,18,0.503
176,34,20,22,0.621
276,354,34,32,0.599
0,26,24,18,0.662
134,14,28,16,0.538
552,2,42,24,0.559
