tile,region,sigma,L_theory,mean_exp,diff_mean,var_theory,var_exp,diff_var,count,stddev,min,max
1,background,0,0.000,0.000,0.000,0.000,0.000,0.000,21855,0.000,0.000,0.000
1,square,0,127.000,127.000,0.000,0.000,0.000,0.000,22052,0.000,127.000,127.000
1,circle,0,255.000,255.000,0.000,0.000,0.000,0.000,21629,0.000,255.000,255.000
1,background,3,0.000,1.191,1.191,9.000,3.086,-5.914,21855,1.757,0.000,12.000
1,square,3,127.000,127.000,-0.000,9.000,9.188,0.188,22052,3.031,114.000,139.000
1,circle,3,255.000,253.811,-1.189,9.000,3.113,-5.887,21629,1.764,242.000,255.000
1,background,7,0.000,2.774,2.774,49.000,16.558,-32.442,21855,4.069,0.000,30.000
1,square,7,127.000,126.956,-0.044,49.000,48.218,-0.782,22052,6.944,98.000,156.000
1,circle,7,255.000,252.232,-2.768,49.000,16.669,-32.331,21629,4.083,229.000,255.000
1,background,15,0.000,5.932,5.932,225.000,75.314,-149.686,21855,8.678,0.000,61.000
1,square,15,127.000,127.075,0.075,225.000,225.938,0.938,22052,15.031,66.000,185.000
1,circle,15,255.000,249.020,-5.980,225.000,77.162,-147.838,21629,8.784,186.000,255.000
2,background,0,20.000,20.000,0.000,0.000,0.000,0.000,21855,0.000,20.000,20.000
2,square,0,127.000,127.000,0.000,0.000,0.000,0.000,22052,0.000,127.000,127.000
2,circle,0,235.000,235.000,0.000,0.000,0.000,0.000,21629,0.000,235.000,235.000
2,background,3,20.000,20.039,0.039,9.000,9.062,0.062,21855,3.010,9.000,32.000
2,square,3,127.000,126.993,-0.007,9.000,9.060,0.060,22052,3.010,112.000,138.000
2,circle,3,235.000,234.983,-0.017,9.000,8.962,-0.038,21629,2.994,221.000,249.000
2,background,7,20.000,20.081,0.081,49.000,48.869,-0.131,21855,6.991,0.000,51.000
2,square,7,127.000,127.046,0.046,49.000,48.657,-0.343,22052,6.975,96.000,158.000
2,circle,7,235.000,235.057,0.057,49.000,48.497,-0.503,21629,6.964,207.000,255.000
2,background,15,20.000,20.605,0.605,225.000,188.988,-36.012,21855,13.747,0.000,77.000
2,square,15,127.000,127.201,0.201,225.000,223.804,-1.196,22052,14.960,65.000,190.000
2,circle,15,235.000,234.427,-0.573,225.000,190.855,-34.145,21629,13.815,178.000,255.000
3,background,0,55.000,55.000,0.000,0.000,0.000,0.000,21855,0.000,55.000,55.000
3,square,0,127.000,127.000,0.000,0.000,0.000,0.000,22052,0.000,127.000,127.000
3,circle,0,200.000,200.000,0.000,0.000,0.000,0.000,21629,0.000,200.000,200.000
3,background,3,55.000,55.040,0.040,9.000,9.060,0.060,21855,3.010,42.000,66.000
3,square,3,127.000,127.020,0.020,9.000,9.257,0.257,22052,3.043,114.000,140.000
3,circle,3,200.000,200.007,0.007,9.000,9.156,0.156,21629,3.026,189.000,212.000
3,background,7,55.000,55.015,0.015,49.000,49.905,0.905,21855,7.064,26.000,84.000
3,square,7,127.000,127.018,0.018,49.000,48.520,-0.480,22052,6.966,98.000,153.000
3,circle,7,200.000,199.915,-0.085,49.000,49.174,0.174,21629,7.012,166.000,229.000
3,background,15,55.000,54.878,-0.122,225.000,225.321,0.321,21855,15.011,1.000,120.000
3,square,15,127.000,127.033,0.033,225.000,224.881,-0.119,22052,14.996,73.000,183.000
3,circle,15,200.000,199.886,-0.114,225.000,226.144,1.144,21629,15.038,140.000,255.000
4,background,0,90.000,90.000,0.000,0.000,0.000,0.000,21855,0.000,90.000,90.000
4,square,0,127.000,127.000,0.000,0.000,0.000,0.000,22052,0.000,127.000,127.000
4,circle,0,165.000,165.000,0.000,0.000,0.000,0.000,21629,0.000,165.000,165.000
4,background,3,90.000,89.976,-0.024,9.000,9.082,0.082,21855,3.014,78.000,103.000
4,square,3,127.000,126.988,-0.012,9.000,9.267,0.267,22052,3.044,114.000,138.000
4,circle,3,165.000,165.033,0.033,9.000,8.991,-0.009,21629,2.998,153.000,178.000
4,background,7,90.000,89.964,-0.036,49.000,50.251,1.251,21855,7.089,63.000,124.000
4,square,7,127.000,126.963,-0.037,49.000,48.518,-0.482,22052,6.965,99.000,157.000
4,circle,7,165.000,165.077,0.077,49.000,48.651,-0.349,21629,6.975,138.000,194.000
4,background,15,90.000,90.049,0.049,225.000,222.785,-2.215,21855,14.926,34.000,161.000
4,square,15,127.000,126.973,-0.027,225.000,224.768,-0.232,22052,14.992,73.000,185.000
4,circle,15,165.000,164.803,-0.197,225.000,226.479,1.479,21629,15.049,102.000,223.000
